month,hour,day_type,cooling_demand,dhw_demand,non_shiftable_load,occupant_count,indoor_dry_bulb_temperature,indoor_relative_humidity,indoor_dry_bulb_temperature_cooling_set_point,hvac_mode,heating_demand,solar_generation
1,1,1,4.630265,0.023526,4.875873238496693,5.04,23.42897,35.52043,24.2,1,0,0
1,2,1,3.928664,0.011593,4.958939139541204,5.04,23.29817,38.7368,24.2,1,0,0
1,3,1,3.531238,0.019082,4.821051793771513,5.04,23.183,34.15487,24.2,1,0,0
1,4,1,3.199099,0.014452,4.927084167622767,5.04,23.0979,29.66414,24.2,1,0,0
1,5,1,3.219074,3.111417,4.857179200758002,5.04,22.94498,27.88426,24.2,1,0,0
1,6,1,2.001937,1.84543,4.998576822734236,5.04,22.68747,26.33392,24.2,1,0,0
1,7,1,1.971823,2.505759,11.322048098626352,5.04,22.52726,25.3065,22.7,1,0,0
1,8,1,2.374369,0.004262,11.104130580961513,5.021602,22.79112,25.63615,22.7,1,0,0
1,9,1,4.39127,0.012368,19.047022775381254,4.89601,23.60381,26.08525,22.2,1,0,0
1,10,1,7.38366,0.025569,19.338230060869403,4.653776,24.55387,22.20481,22.2,1,0,0
1,11,1,11.304073,0.87572,12.588900143225265,4.027884,25.65426,18.32679,22.2,1,0,0
1,12,1,13.718646,0.006651,12.426712854717069,3.243639,26.38329,17.26217,22.2,1,0,0
1,13,1,16.397716,1.422033,15.655875333551128,2.116781,27.30761,16.40437,22.2,1,0,0
1,14,1,18.461229,0.022376,16.13165018826033,1.257916,28.01467,17.03932,22.2,1,0,0
1,15,1,19.750716,0.015941,15.75870981433581,0.5948458,28.46557,18.05514,22.2,1,0,0
1,16,1,20.173063,0.031245,15.406784412861171,0.0,28.56733,19.08053,22.2,1,0,0
1,17,1,19.303903,0.017395,23.298213581188335,0.0,28.21309,20.50456,22.2,1,0,0
1,18,1,16.866649,4.987986,23.45517955903143,0.0,27.48087,22.28001,22.7,1,0,0
1,19,1,14.351977,0.002902,22.74014830741834,0.0,26.75635,23.78798,22.7,1,0,0
1,20,1,7.507824,1.498263,23.123502806264284,0.905767,24.43786,31.02278,22.7,1,0,0
1,21,1,5.817394,4.215318,13.964865940162502,1.008,23.99785,35.98338,22.7,1,0,0
1,22,1,5.047086,1.65864,13.4721373993045,4.032,23.81778,35.67029,22.7,1,0,0
1,23,1,5.031177,0.015368,9.677866087649248,4.032,23.67777,31.5295,24.2,1,0,0
1,0,2,4.187959,0.017588,6.297928030509652,5.04,23.55501,30.60317,24.3,1,0,0
1,1,2,5.089112,0.865338,6.066921571949229,5.04,23.44554,31.88973,24.3,1,0,0
1,2,2,4.511948,0.016134,6.120426839947826,5.04,23.34075,32.08779,24.3,1,0,0
1,3,2,3.498,0.019368,5.932888477206013,5.04,23.21257,32.594,24.3,1,0,0
1,4,2,3.523454,0.019766,5.738328076198992,5.04,23.03313,34.47621,24.3,1,0,0
1,5,2,1.908562,1.628815,6.160934706366244,5.04,22.72305,32.82272,24.3,1,0,0
1,6,2,1.737333,2.784612,9.874868458684068,5.04,22.46441,29.482,24.3,1,0,0
1,7,2,1.252234,1.480481,9.981179150332757,5.04,22.35703,31.9455,22.8,1,0,0
1,8,2,1.949536,2.130835,9.693141979080638,4.026627,22.55109,32.42316,22.8,1,0,0
1,9,2,3.68195,0.019504,12.851242197971379,2.978782,23.29061,27.55884,22.3,1,0,0
1,10,2,6.723458,0.011672,12.615628910031855,0.0,24.15511,24.07242,22.3,1,0,0
1,11,2,10.215216,0.017074,12.432828367843513,0.0,25.14738,23.39404,22.3,1,0,0
1,12,2,11.838098,0.002781,11.958044847272928,0.0,25.82854,22.86832,22.3,1,0,0
1,13,2,15.926972,1.170015,15.87153747895418,1.504127,26.98727,21.85365,22.3,1,0,0
1,14,2,18.145209,0.01842,15.347234090130979,2.578721,27.72393,21.56052,22.3,1,0,0
1,15,2,19.144006,0.02334,15.191107780007624,3.08239,28.16311,21.99939,22.3,1,0,0
1,16,2,19.959748,0.010252,15.332100815178512,3.026576,28.2767,21.37398,22.3,1,0,0
1,17,2,18.652082,0.020308,20.737694818453196,3.176893,27.93876,20.66298,22.3,1,0,0
1,18,2,14.866195,1.582545,20.77693135343463,3.011448,26.97859,24.79665,22.8,1,0,0
1,19,2,12.847399,2.000283,21.1732429598436,3.956988,26.26922,34.34734,22.8,1,0,0
1,20,2,6.444845,2.088525,20.457809169784486,4.585412,24.29955,42.93664,22.8,1,0,0
1,21,2,6.06668,0.004611,12.069762341811964,5.04,23.90431,43.14523,22.8,1,0,0
1,22,2,5.346469,0.007135,12.067204247476958,5.04,23.73209,47.15393,22.8,1,0,0
1,23,2,5.172871,0.023184,8.65126310548478,5.04,23.59456,49.86664,24.3,1,0,0
1,0,3,4.825421,0.019018,6.154121615161826,5.04,23.46045,44.73782,24.1,1,0,0
1,1,3,4.435343,0.023361,6.208662282860084,5.04,23.32927,38.67997,24.1,1,0,0
1,2,3,3.38749,0.019895,6.311905816782302,5.04,23.25081,45.22388,24.1,1,0,0
1,3,3,3.446222,0.02042,6.393731113457864,5.04,23.09605,46.13999,24.1,1,0,0
1,4,3,2.997928,0.023991,6.173578901225378,5.04,22.88422,43.37315,24.1,1,0,0
1,5,3,1.88721,2.934143,6.090336974208668,5.04,22.58416,45.43747,24.1,1,0,0
1,6,3,0.689146,3.030732,10.185269033410403,5.04,22.244,41.62931,24.1,1,0,0
1,7,3,0.363987,1.644662,10.422886473679586,5.04,22.04589,33.03023,22.6,1,0,0
1,8,3,1.092409,1.873392,10.105678398717599,4.030074,22.21608,29.92678,22.6,1,0,0
1,9,3,2.938074,0.854489,13.088588620739191,2.996411,23.04685,29.03498,22.1,1,0,0
1,10,3,6.193448,0.025276,12.458522931644584,0.0,23.88289,28.26232,22.1,1,0,0
1,11,3,9.11301,0.039235,12.888098193845318,0.0,24.81266,25.30428,22.1,1,0,0
1,12,3,11.753624,1.225451,12.364771347836472,0.0,25.75669,24.81999,22.1,1,0,0
1,13,3,15.279486,0.004376,15.619860690590341,1.486668,26.87901,22.05968,22.1,1,0,0
1,14,3,16.130459,0.015946,16.0858455054087,2.645713,27.45778,20.24713,22.1,1,0,0
1,15,3,18.646212,0.019613,15.96311028601236,3.200961,27.95228,21.45818,22.1,1,0,0
1,16,3,19.488869,0.01923,16.070418660717653,3.060902,28.15627,25.21721,22.1,1,0,0
1,17,3,18.878499,0.019415,21.5852484570943,3.16642,27.95166,27.28334,22.1,1,0,0
1,18,3,16.353097,4.851456,21.247508519985413,2.927273,27.07616,31.09334,22.6,1,0,0
1,19,3,12.299816,3.399221,20.421213648936497,3.93367,26.11952,39.34107,22.6,1,0,0
1,20,3,7.428065,1.47368,21.262142536221365,4.647973,24.21112,48.0424,22.6,1,0,0
1,21,3,5.243578,2.204598,12.338434984255702,5.04,23.83841,49.74047,22.6,1,0,0
1,22,3,5.874021,4.864822,12.544291177895474,5.04,23.6736,50.67404,22.6,1,0,0
1,23,3,4.387906,0.015731,8.527306119670994,5.04,23.54687,49.53592,24.1,1,0,0
1,0,4,4.431378,0.021236,6.260474135747267,5.04,23.41207,50.12328,23.9,1,0,0
1,1,4,3.684927,0.017705,6.0457991955781685,5.04,23.2722,49.50639,23.9,1,0,0
1,2,4,3.084799,0.013901,5.862550819357734,5.04,23.12654,45.28973,23.9,1,0,0
1,3,4,2.94856,0.01374,5.8725298402553365,5.04,22.92771,42.89674,23.9,1,0,0
1,4,4,2.156225,0.015223,5.91373435955049,5.04,22.73111,38.19825,23.9,1,0,0
1,5,4,1.377399,0.005351,5.810970587681995,5.04,22.47415,38.68597,23.9,1,0,0
1,6,4,0.206821,1.288745,9.647991558703506,5.04,22.14062,43.91448,23.9,1,0,0
1,7,4,0.15028,0.003222,9.381831822909735,5.04,21.94314,43.23975,22.4,1,0,0
1,8,4,0.317639,2.691847,9.521004308854,4.031438,22.01618,42.0591,22.4,1,0,0
1,9,4,2.366875,0.030223,11.913352411869013,3.006736,22.77516,37.15025,21.9,1,0,0
1,10,4,6.073269,0.014105,12.52517045505137,0.0,23.67576,30.2774,21.9,1,0,0
1,11,4,8.019656,0.021156,12.227426882043073,0.0,24.76282,24.63733,21.9,1,0,0
1,12,4,11.291918,0.010115,11.96432965287686,0.0,25.64305,22.11135,21.9,1,0,0
1,13,4,14.048796,1.323583,15.51764725353662,1.533315,26.42949,20.81596,21.9,1,0,0
1,14,4,15.655364,0.014249,15.45393162706285,2.859012,27.02709,20.15263,21.9,1,0,0
1,15,4,16.55064,0.017911,15.642745272506398,3.395651,27.4629,23.81195,21.9,1,0,0
1,16,4,17.101501,0.014165,15.188384940745149,3.38787,27.43032,28.17807,21.9,1,0,0
1,17,4,15.648046,0.026435,19.930750271475432,3.638543,26.95192,30.64068,21.9,1,0,0
1,18,4,12.858419,4.122689,20.184149349749195,3.328709,26.21296,32.91176,22.4,1,0,0
1,19,4,10.290751,1.802399,21.669466109103144,4.221397,25.34121,39.85671,22.4,1,0,0
1,20,4,5.157824,5.004841,20.356162953710193,4.787536,23.93505,46.55942,22.4,1,0,0
1,21,4,4.609631,2.899823,12.28436167093431,5.04,23.6515,47.39139,22.4,1,0,0
1,22,4,4.464685,3.001978,11.73778173485864,5.04,23.46069,48.65332,22.4,1,0,0
1,23,4,3.805435,0.018889,8.426375498424562,5.04,23.29154,47.83847,23.9,1,0,0
1,0,5,3.175928,0.014588,5.939636922091562,5.04,23.14538,43.93851,23.7,1,0,0
1,1,5,3.573407,0.848452,6.439625372689606,5.04,23.02735,45.15939,23.7,1,0,0
1,2,5,2.826246,0.01427,6.26430547794374,5.04,22.82703,44.84235,23.7,1,0,0
1,3,5,1.745631,0.020728,6.410668334510462,5.04,22.52238,38.58224,23.7,1,0,0
1,4,5,2.117867,0.018978,6.241484465344512,5.04,22.45016,33.78667,23.7,1,0,0
1,5,5,1.010563,0.007718,6.456184134668488,5.04,22.22609,31.47577,23.7,1,0,0
1,6,5,0.067464,1.445597,10.11906098574783,5.04,21.98301,32.0815,23.7,1,0,0
1,7,5,0.069521,0.693941,10.297827647638185,5.04,21.66949,34.15611,22.2,1,0,0
1,8,5,0.087482,1.859518,10.291614202196486,4.032,21.81808,32.99817,22.2,1,0,0
1,9,5,2.61238,0.020353,13.22219895149992,3.00673,22.58776,32.14463,21.7,1,0,0
1,10,5,3.889549,0.013989,12.940437991146249,0.0,23.47341,33.03466,21.7,1,0,0
1,11,5,7.273987,0.015672,13.46887855468758,0.0,24.2977,30.88926,21.7,1,0,0
1,12,5,10.019076,1.031731,12.717529947429004,0.0,24.99156,27.21352,21.7,1,0,0
1,13,5,11.025462,0.002911,15.5759364633577,1.653436,25.69772,25.92298,21.7,1,0,0
1,14,5,13.298559,0.019557,16.447289293320217,3.110367,26.24066,26.79632,21.7,1,0,0
1,15,5,14.512939,0.01612,15.732972186539945,3.734803,26.63573,26.85377,21.7,1,0,0
1,16,5,14.408418,0.866148,15.979146038391468,3.708756,26.68752,28.07584,21.7,1,0,0
1,17,5,13.635874,0.016284,21.253566833172616,3.830997,26.42932,29.45876,21.7,1,0,0
1,18,5,10.929868,3.564237,21.809157274033204,3.442491,25.64714,31.36818,22.2,1,0,0
1,19,5,10.135037,3.076112,21.965786583259028,4.311339,25.18841,34.16005,22.2,1,0,0
1,20,5,5.865908,2.776833,20.74598931430153,4.715942,23.7646,39.87221,22.2,1,0,0
1,21,5,4.713191,2.759977,12.664802479292533,5.04,23.48171,41.38247,22.2,1,0,0
1,22,5,4.110398,1.733935,12.91964228928822,5.04,23.29427,43.86991,22.2,1,0,0
1,23,5,3.089336,0.019841,8.632939832739396,5.04,23.1101,45.00209,23.7,1,0,0
1,0,6,2.386309,0.028629,6.497810182308509,5.04,22.89603,46.10828,24.8,1,0,0
1,1,6,2.412698,0.014988,5.743160703949914,5.04,22.70357,46.83469,24.8,1,0,0
1,2,6,1.288062,0.031796,5.82498602847101,5.04,22.46041,43.13068,24.8,1,0,0
1,3,6,1.120003,0.019116,5.680180420843708,5.04,22.24437,39.22642,24.8,1,0,0
1,4,6,0.195175,0.015596,5.694760354567638,5.04,22.08042,38.13087,24.8,1,0,0
1,5,6,0.109661,0.004342,5.766975105943191,5.04,21.91451,38.46278,24.8,1,0,0
1,6,6,0.113417,1.038687,9.611211414339495,5.04,21.74505,37.52329,24.8,1,0,0
1,7,6,0.134968,2.044595,9.549059309817933,5.04,21.56423,35.40195,22.8,1,0,0
1,8,6,0.08653,2.012765,9.200101555702437,5.04,21.61204,34.48853,22.8,1,0,0
1,9,6,1.206134,0.011158,11.745419572526293,5.013293,22.38615,29.46868,22.8,1,0,0
1,10,6,3.700975,0.017979,12.227888273210853,4.893613,23.28505,27.04437,22.8,1,0,0
1,11,6,7.77462,0.017293,11.889605263394634,4.415927,24.19969,27.72744,22.8,1,0,0
1,12,6,8.864106,1.345002,11.623493870331892,3.678076,24.95832,24.70468,22.8,1,0,0
1,13,6,11.70588,0.008085,14.436286210048992,2.436052,25.6532,21.28731,22.8,1,0,0
1,14,6,12.911526,0.020084,14.525041152823377,1.549617,26.20831,21.01326,22.8,1,0,0
1,15,6,13.928013,0.020002,14.458631849196381,0.748387,26.57875,22.9938,22.8,1,0,0
1,16,6,13.970018,0.020945,14.542481570398802,0.0,26.6021,24.35821,22.8,1,0,0
1,17,6,12.872613,0.029062,20.67784614012944,0.0,26.30911,27.06484,22.8,1,0,0
1,18,6,11.652236,2.981114,19.577338535317843,0.0,25.66737,30.0964,22.8,1,0,0
1,19,6,9.992368,2.561216,19.498685219086326,0.0,25.11355,33.47581,22.8,1,0,0
1,20,6,5.340921,6.987977,20.87289883998031,0.9527659,23.68437,41.02137,22.8,1,0,0
1,21,6,4.531647,0.898407,11.363726748711048,1.008,23.36192,45.22231,22.8,1,0,0
1,22,6,3.616065,4.229082,11.562011286355915,4.032,23.21165,47.18032,22.8,1,0,0
1,23,6,2.853092,0.011454,8.23914309556577,4.032,23.05361,51.18328,24.8,1,0,0
1,0,7,2.806783,0.017119,4.739006210061712,5.04,22.93317,53.5074,25.0,1,0,0
1,1,7,2.038936,0.872917,4.812469416054388,5.04,22.78578,52.42923,25.0,1,0,0
1,2,7,1.386766,0.01842,4.715539580470869,5.04,22.50979,50.38361,25.0,1,0,0
1,3,7,1.384785,0.018346,4.764914580916299,5.04,22.38514,50.46248,25.0,1,0,0
1,4,7,0.0,0.021741,4.837213717760727,5.04,22.16443,49.96865,25.0,0,0,0
1,5,7,0.159694,0.00898,4.89691546338383,5.04,21.8663,46.19628,25.0,1,0,0
1,6,7,0.121968,0.889817,4.939603092195559,5.04,21.67458,43.40776,25.0,1,0,0
1,7,7,0.170183,1.768275,10.297250143709155,5.04,21.47334,39.86703,23.0,1,0,0
1,8,7,0.097072,2.509518,10.805167424768664,5.04,21.50549,36.24632,23.0,1,0,0
1,9,7,0.990271,0.023505,19.06465246636171,5.01979,22.29931,33.937,23.0,1,0,0
1,10,7,3.79886,0.027713,19.005771048534907,4.886691,23.40393,31.42804,23.0,1,0,0
1,11,7,7.768271,0.016496,12.253127028966952,4.319333,24.44944,26.86507,23.0,1,0,0
1,12,7,10.021896,0.943642,12.345376810717806,3.543366,25.39283,23.51177,23.0,1,0,0
1,13,7,12.541707,0.00486,15.766922255955585,2.308354,26.02926,24.16387,23.0,1,0,0
1,14,7,13.250843,0.023838,15.325213717161848,1.510717,26.40083,27.10222,23.0,1,0,0
1,15,7,14.590292,0.0229,15.517204856660811,0.7435776,26.6831,29.04815,23.0,1,0,0
1,16,7,15.019477,0.019597,15.297689792481004,0.0,26.71721,27.39215,23.0,1,0,0
1,17,7,13.919143,0.022508,22.864466320187233,0.0,26.41202,26.17655,23.0,1,0,0
1,18,7,11.812402,2.488114,22.55134345005062,0.0,25.75252,29.11147,23.0,1,0,0
1,19,7,9.788998,1.531794,22.251823459269986,0.0,25.27649,32.89031,23.0,1,0,0
1,20,7,5.500798,2.268104,23.14096675157791,0.9442874,23.7572,41.95505,23.0,1,0,0
1,21,7,5.468102,2.106829,13.192209063356913,1.008,23.46584,47.01043,23.0,1,0,0
1,22,7,4.574984,2.046152,12.951734608887358,4.032,23.30124,46.94855,23.0,1,0,0
1,23,7,3.870806,0.851006,9.920843141513222,4.032,23.14225,45.84705,25.0,1,0,0
1,0,1,3.998917,0.019568,4.861825461304174,5.04,22.99909,47.83376,24.2,1,0,0
1,1,1,2.208118,0.018475,4.923591582944239,5.04,22.85913,48.65788,24.2,1,0,0
1,2,1,1.949626,0.017417,4.930863626551563,5.04,22.75467,43.62237,24.2,1,0,0
1,3,1,1.688365,0.015374,4.838604686867206,5.04,22.55979,37.68157,24.2,1,0,0
1,4,1,0.419454,0.023194,5.0313310176851305,5.04,22.2175,33.92516,24.2,1,0,0
1,5,1,0.062471,1.48372,5.089339188740713,5.04,21.91679,30.01031,24.2,1,0,0
1,6,1,0.119822,0.004324,4.909964163601425,5.04,21.61567,31.9218,24.2,1,0,0
1,7,1,0.192251,0.006235,11.30599666651145,5.04,21.45297,34.57269,22.7,1,0,0
1,8,1,0.11545,1.251366,11.195815153223421,4.032,21.63628,34.20684,22.7,1,0,0
1,9,1,0.70423,0.856883,19.16442785481857,3.009722,22.36762,27.62915,22.2,1,0,0
1,10,1,3.877645,0.009381,19.202567224223422,0.0,23.1376,23.52048,22.2,1,0,0
1,11,1,7.450688,0.026727,12.815159416201315,0.0,24.26526,24.12702,22.2,1,0,0
1,12,1,9.056903,1.219365,12.737418092766237,0.0,25.03313,24.15562,22.2,1,0,0
1,13,1,12.053789,0.008508,16.38128098976799,1.618347,25.80306,24.23334,22.2,1,0,0
1,14,1,14.094648,0.014452,15.708402455122405,2.993381,26.46754,24.76166,22.2,1,0,0
1,15,1,15.195507,0.032052,16.169788365102516,3.557843,26.84704,25.22838,22.2,1,0,0
1,16,1,14.886222,0.01605,15.961832704446163,3.558891,27.01031,28.65385,22.2,1,0,0
1,17,1,14.757606,0.030285,23.77016083988292,3.587382,26.84914,32.89858,22.2,1,0,0
1,18,1,13.199471,1.272011,23.313278582168703,3.223234,26.19546,36.54907,22.7,1,0,0
1,19,1,11.371137,1.078099,23.520201306514963,4.024247,25.69073,38.3412,22.7,1,0,0
1,20,1,5.44862,0.004519,23.040169260203367,4.612274,23.87295,43.44503,22.7,1,0,0
1,21,1,4.570935,2.024191,13.374141305536662,5.04,23.53496,46.62139,22.7,1,0,0
1,22,1,4.135104,3.128466,13.707078550468687,5.04,23.3803,50.82715,22.7,1,0,0
1,23,1,3.413594,0.01924,9.913410167712591,5.04,23.23122,50.26807,24.2,1,0,0
