month,hour,day_type,cooling_demand,dhw_demand,non_shiftable_load,occupant_count,indoor_dry_bulb_temperature,indoor_relative_humidity,indoor_dry_bulb_temperature_cooling_set_point,hvac_mode,heating_demand,solar_generation
1,1,1,5.863471,0.019143,5.273001335586357,5.04,24.0105,73.5173,24.2,1,0,0
1,2,1,5.829483,0.860918,5.306156679563147,5.04,23.9088,66.80405,24.2,1,0,0
1,3,1,6.666502,0.028326,5.475084549196691,5.04,23.81159,67.11171,24.2,1,0,0
1,4,1,4.643746,0.019415,5.240060626372299,5.04,23.72207,65.5983,24.2,1,0,0
1,5,1,5.153508,2.695763,5.458752142278875,5.04,23.63859,63.9254,24.2,1,0,0
1,6,1,5.297704,1.995945,5.61402294373342,5.04,23.56281,64.43108,24.2,1,0,0
1,7,1,4.716836,4.601017,11.863695812385256,5.04,23.49348,62.65573,22.7,1,0,0
1,8,1,8.642939,0.910196,11.98536247930876,4.702563,24.78739,54.34034,22.7,1,0,0
1,9,1,11.355067,0.020509,20.56921835090292,4.289724,25.64631,46.92827,22.2,1,0,0
1,10,1,15.064177,0.012422,20.5746855411339,3.945611,26.77052,42.95141,22.2,1,0,0
1,11,1,18.235763,0.01616,14.118473208336558,3.2084,27.61427,44.45392,22.2,1,0,0
1,12,1,19.706063,1.543209,13.531163384018985,2.659168,28.29494,45.4132,22.2,1,0,0
1,13,1,22.020123,0.991428,17.8272711225383,1.674154,28.95538,43.17717,22.2,1,0,0
1,14,1,23.347551,0.021251,17.494952998135304,1.02045,29.51882,40.64818,22.2,1,0,0
1,15,1,24.013723,0.02217,16.89791840330665,0.4716282,29.89459,42.1381,22.2,1,0,0
1,16,1,23.919105,0.013793,17.060099939404594,0.0,29.94618,44.11899,22.2,1,0,0
1,17,1,24.148282,0.02568,25.17326895430813,0.0,29.64741,47.47972,22.2,1,0,0
1,18,1,21.800884,3.880286,24.719526493553357,0.0,29.1582,51.62053,22.7,1,0,0
1,19,1,21.513225,1.729681,25.789778561114645,0.0,28.74793,57.21326,22.7,1,0,0
1,20,1,10.727303,2.745981,25.79898226312939,0.8185281,25.58575,66.38536,22.7,1,0,0
1,21,1,8.042802,3.575867,14.94191117213069,1.008,24.62554,76.19161,22.7,1,0,0
1,22,1,6.910463,1.481479,14.70799757257329,4.032,24.41921,78.15392,22.7,1,0,0
1,23,1,7.027096,0.010282,10.776370764704065,4.032,24.2635,76.5845,24.2,1,0,0
1,0,2,6.067066,0.01415,6.915550562128836,5.04,24.13273,77.06581,24.3,1,0,0
1,1,2,5.443049,0.020349,6.32152960489048,5.04,24.02209,79.89382,24.3,1,0,0
1,2,2,6.544181,0.021812,6.117669301400371,5.04,23.92256,77.89545,24.3,1,0,0
1,3,2,5.418658,0.014688,6.270157007014257,5.04,23.83022,75.73305,24.3,1,0,0
1,4,2,5.865257,0.008032,6.414993895650924,5.04,23.74009,76.41487,24.3,1,0,0
1,5,2,5.255394,3.029902,6.400776420887937,5.04,23.65298,70.89878,24.3,1,0,0
1,6,2,5.184861,1.038038,9.80834065469925,5.04,23.57544,64.45511,24.3,1,0,0
1,7,2,4.891086,1.963664,9.803761147197196,5.04,23.50159,62.85563,22.8,1,0,0
1,8,2,7.167083,0.006518,10.357455863162691,3.803807,24.6024,55.71525,22.8,1,0,0
1,9,2,11.811773,0.017231,13.14174692432161,2.620489,25.72718,50.1806,22.3,1,0,0
1,10,2,13.876941,0.012364,13.03355546439562,0.0,26.61598,54.09982,22.3,1,0,0
1,11,2,16.887172,0.016563,12.696750184034395,0.0,27.38802,58.56254,22.3,1,0,0
1,12,2,19.411595,0.005203,12.601517748947371,0.0,27.9557,47.5127,22.3,1,0,0
1,13,2,20.954316,1.800331,16.434751030056315,1.194727,28.74575,43.33104,22.3,1,0,0
1,14,2,22.485094,0.015163,16.015760123713637,2.089129,29.31324,39.91652,22.3,1,0,0
1,15,2,23.653578,0.025055,15.986524941461719,2.471819,29.68536,33.81896,22.3,1,0,0
1,16,2,24.742797,0.008708,16.0618551954075,2.397299,29.89809,33.2028,22.3,1,0,0
1,17,2,24.20266,0.023369,21.64595830017044,2.419852,29.69376,35.10103,22.3,1,0,0
1,18,2,21.881347,1.29269,22.975106190805484,2.241697,29.22118,38.04543,22.8,1,0,0
1,19,2,21.152286,2.667606,20.73110034538908,2.868605,28.81843,42.3442,22.8,1,0,0
1,20,2,10.085037,5.388395,21.8449322719935,4.042085,25.35198,54.61749,22.8,1,0,0
1,21,2,7.798165,1.871092,12.695656561912761,5.04,24.61563,59.95681,22.8,1,0,0
1,22,2,7.529464,1.689188,12.371909633151965,5.04,24.40283,59.39352,22.8,1,0,0
1,23,2,6.99936,0.018706,8.666516477323103,5.04,24.24315,57.9438,24.3,1,0,0
1,0,3,6.825777,0.016873,6.359506024316114,5.04,24.1123,60.27042,24.1,1,0,0
1,1,3,6.135824,0.014301,5.941982785252297,5.04,23.995,60.86366,24.1,1,0,0
1,2,3,5.704131,0.013774,5.852590424362316,5.04,23.8923,57.11459,24.1,1,0,0
1,3,3,6.052028,0.018743,5.9789994232651305,5.04,23.79408,53.91879,24.1,1,0,0
1,4,3,5.289747,0.022048,6.004572246791486,5.04,23.70168,51.37743,24.1,1,0,0
1,5,3,5.086027,1.328269,6.031760299488449,5.04,23.61739,50.02634,24.1,1,0,0
1,6,3,5.166474,0.006285,9.9407232278392,5.04,23.541,50.22355,24.1,1,0,0
1,7,3,4.673293,1.58431,9.372834066362328,5.04,23.47074,50.434,22.6,1,0,0
1,8,3,8.496052,0.002837,9.760930660752408,3.793898,24.6942,47.68601,22.6,1,0,0
1,9,3,11.690256,0.019029,12.646354084177046,2.584887,25.68099,46.28251,22.1,1,0,0
1,10,3,13.800315,0.009687,12.263864097418818,0.0,26.40305,43.09984,22.1,1,0,0
1,11,3,16.233632,0.014213,12.577862217548224,0.0,27.1197,38.96745,22.1,1,0,0
1,12,3,17.348471,1.335572,12.376256672725074,0.0,27.70336,36.17937,22.1,1,0,0
1,13,3,19.8392,0.005549,14.983101558287851,1.248788,28.53328,32.46109,22.1,1,0,0
1,14,3,22.802991,0.014029,15.58142536077615,2.155378,29.25186,31.06642,22.1,1,0,0
1,15,3,23.697533,0.023088,15.217379450208389,2.505786,29.55049,31.15042,22.1,1,0,0
1,16,3,23.342949,0.019062,15.736630289998493,2.55084,29.62459,31.05287,22.1,1,0,0
1,17,3,22.872638,0.027089,20.374459934769856,2.607726,29.40815,35.86216,22.1,1,0,0
1,18,3,21.139575,1.693639,20.511838753839363,2.387957,28.91273,39.72097,22.6,1,0,0
1,19,3,20.334802,0.004802,20.414606710548355,3.036527,28.5139,42.0718,22.6,1,0,0
1,20,3,10.074054,5.967099,20.28329442513049,4.114478,25.21918,51.5274,22.6,1,0,0
1,21,3,8.127535,4.11394,12.32527358506456,5.04,24.54914,55.64508,22.6,1,0,0
1,22,3,7.430307,2.190927,12.145112359164656,5.04,24.33872,56.11407,22.6,1,0,0
1,23,3,7.042033,0.02871,8.15664272408559,5.04,24.1787,54.31997,24.1,1,0,0
1,0,4,6.201042,0.015904,5.865622204306338,5.04,24.04813,54.63363,23.9,1,0,0
1,1,4,6.503872,0.026085,5.9485872404781475,5.04,23.93472,55.30154,23.9,1,0,0
1,2,4,5.324706,0.025822,5.834480730970517,5.04,23.83141,54.1214,23.9,1,0,0
1,3,4,5.942687,0.021939,5.985042130634944,5.04,23.7393,52.54591,23.9,1,0,0
1,4,4,5.306894,0.021439,5.704053850683351,5.04,23.65359,53.03062,23.9,1,0,0
1,5,4,5.240265,1.171161,5.83646211763288,5.04,23.57291,53.5032,23.9,1,0,0
1,6,4,4.948937,1.599907,8.971548707014584,5.04,23.49991,52.08082,23.9,1,0,0
1,7,4,3.560038,1.864811,9.461431193644819,5.04,23.42778,50.62006,22.4,1,0,0
1,8,4,7.782118,1.287292,9.23063591493593,3.833801,24.47448,47.35472,22.4,1,0,0
1,9,4,10.347484,0.022065,12.178514937445883,2.65642,25.39633,46.47524,21.9,1,0,0
1,10,4,13.17447,0.858245,11.92616090606195,0.0,26.15681,43.96946,21.9,1,0,0
1,11,4,16.038589,0.016813,11.80980142988573,0.0,27.31645,40.80638,21.9,1,0,0
1,12,4,19.288172,0.003001,11.887544853483242,0.0,28.10715,39.95107,21.9,1,0,0
1,13,4,21.189858,0.004373,14.833126779002423,1.144697,28.9119,40.65628,21.9,1,0,0
1,14,4,22.630589,0.857061,14.999492585708802,1.995359,29.51857,43.23993,21.9,1,0,0
1,15,4,24.101207,0.026459,14.138858206846718,2.325659,29.90528,45.07513,21.9,1,0,0
1,16,4,25.294015,0.014189,14.52030421306158,2.279136,29.97814,46.09812,21.9,1,0,0
1,17,4,23.026315,0.012959,18.933975651919692,2.470854,29.5754,46.51146,21.9,1,0,0
1,18,4,21.702541,2.958248,19.99578634083905,2.33137,29.13363,48.91144,22.4,1,0,0
1,19,4,21.402237,1.95185,18.968562124548175,2.858865,28.84072,51.59213,22.4,1,0,0
1,20,4,10.700642,2.231054,19.86533568730447,4.026063,25.45891,53.81621,22.4,1,0,0
1,21,4,8.140171,1.469338,11.90744410483254,5.04,24.61037,55.96088,22.4,1,0,0
1,22,4,7.658799,1.615297,11.54815117913772,5.04,24.39449,62.99007,22.4,1,0,0
1,23,4,6.930265,0.031727,7.897207147104874,5.04,24.23807,69.49222,23.9,1,0,0
1,0,5,6.946856,0.019853,5.694137395496618,5.04,24.11064,69.97386,23.7,1,0,0
1,1,5,6.199427,0.021817,6.2799055589161545,5.04,23.99871,68.68987,23.7,1,0,0
1,2,5,6.19784,0.019977,6.059956774425266,5.04,23.89665,65.39433,23.7,1,0,0
1,3,5,5.596583,0.016854,6.5944999458306945,5.04,23.80781,63.58843,23.7,1,0,0
1,4,5,4.909728,0.024442,6.56524939490252,5.04,23.72456,63.81879,23.7,1,0,0
1,5,5,5.574255,1.16894,6.322828150595578,5.04,23.64733,62.47307,23.7,1,0,0
1,6,5,4.512411,1.545057,10.246178551986361,5.04,23.57607,60.89727,23.7,1,0,0
1,7,5,4.937285,1.558653,10.271021726309694,5.04,23.50492,61.04764,22.2,1,0,0
1,8,5,8.218205,2.018546,10.069032143958328,3.794989,24.62858,54.71399,22.2,1,0,0
1,9,5,9.981333,0.021505,12.800459540092222,2.632896,25.37516,56.12098,21.7,1,0,0
1,10,5,11.747585,0.023465,13.071099015156637,0.0,25.89648,58.51073,21.7,1,0,0
1,11,5,14.25503,0.02906,12.895312961239597,0.0,26.73643,59.67015,21.7,1,0,0
1,12,5,17.519104,0.004281,13.334401647163451,0.0,27.35105,58.08143,21.7,1,0,0
1,13,5,18.207518,0.004631,16.10633872317035,1.343355,27.8665,56.50675,21.7,1,0,0
1,14,5,19.806973,0.009663,15.967852943724813,2.476137,28.42224,55.69374,21.7,1,0,0
1,15,5,21.110722,0.862363,16.589152887941864,2.836009,28.88003,56.70049,21.7,1,0,0
1,16,5,21.963571,0.019114,16.66848350606705,2.744197,29.13426,57.60672,21.7,1,0,0
1,17,5,21.56172,0.016506,22.696058588296623,2.738302,28.96726,56.92307,21.7,1,0,0
1,18,5,20.923213,1.261998,22.10293335475778,2.49519,28.54938,56.92467,22.2,1,0,0
1,19,5,19.557706,2.66846,21.64033551766694,3.10885,28.28762,57.61225,22.2,1,0,0
1,20,5,10.015617,3.955797,21.318948955786887,4.109751,25.24805,65.28548,22.2,1,0,0
1,21,5,8.017758,1.787579,12.690831821629232,5.04,24.41743,73.88416,22.2,1,0,0
1,22,5,7.023604,1.523608,12.216225058284534,5.04,24.22604,74.691,22.2,1,0,0
1,23,5,6.874286,0.0218,8.96593612415762,5.04,24.08571,74.91573,23.7,1,0,0
1,0,6,5.809298,0.020932,6.293654007635803,5.04,23.96937,75.27412,24.8,1,0,0
1,1,6,5.989249,0.018163,6.300997112879383,5.04,23.86383,73.73843,24.8,1,0,0
1,2,6,4.853968,0.014952,6.2611217332931295,5.04,23.76578,70.25964,24.8,1,0,0
1,3,6,4.596504,0.014767,6.141191046096355,5.04,23.67907,68.53411,24.8,1,0,0
1,4,6,5.132485,0.021546,6.153655923302533,5.04,23.59719,68.97374,24.8,1,0,0
1,5,6,4.541021,1.021239,6.515525747960894,5.04,23.51927,65.60999,24.8,1,0,0
1,6,6,4.233638,4.802914,10.031382527012353,5.04,23.44805,65.34571,24.8,1,0,0
1,7,6,4.790801,1.355111,9.72461483233569,5.04,23.38008,68.0489,22.8,1,0,0
1,8,6,6.487318,1.144848,10.228788581573811,4.786808,24.36484,57.38274,22.8,1,0,0
1,9,6,9.330328,0.011541,13.027006204722722,4.490955,24.94005,49.81424,22.8,1,0,0
1,10,6,11.600954,0.019749,13.359866152010763,4.305768,25.59795,49.09761,22.8,1,0,0
1,11,6,14.05053,0.006131,12.828632784576556,3.72492,26.47911,52.65209,22.8,1,0,0
1,12,6,15.595718,0.007096,12.490239324015192,3.057735,27.00888,51.75151,22.8,1,0,0
1,13,6,16.796901,1.366318,15.974318232486233,2.050926,27.49315,48.64475,22.8,1,0,0
1,14,6,18.131226,0.026794,16.256326833204646,1.316096,27.80478,49.32401,22.8,1,0,0
1,15,6,19.394157,0.014373,15.704330488061146,0.6408731,28.06899,49.91785,22.8,1,0,0
1,16,6,18.900151,0.019652,16.317302768351155,0.0,28.09921,49.75401,22.8,1,0,0
1,17,6,17.36305,0.01539,22.291629995048442,0.0,27.86533,51.20027,22.8,1,0,0
1,18,6,17.682447,1.985523,21.731108436319932,0.0,27.53187,52.41818,22.8,1,0,0
1,19,6,15.972796,1.026937,20.693230961746792,0.0,27.21769,52.24576,22.8,1,0,0
1,20,6,7.851086,1.781686,20.996024107277115,0.8765037,24.58624,61.25489,22.8,1,0,0
1,21,6,5.866511,5.836455,12.481569888864813,1.008,24.10176,63.06423,22.8,1,0,0
1,22,6,6.119378,3.16253,12.646815530894502,4.032,23.94438,61.0141,22.8,1,0,0
1,23,6,4.863353,0.014302,8.5000606424746,4.032,23.82701,59.12777,24.8,1,0,0
1,0,7,5.533791,0.022098,5.045642561163034,5.04,23.73121,59.49021,25.0,1,0,0
1,1,7,5.005726,0.026355,5.061629443971169,5.04,23.64416,59.58178,25.0,1,0,0
1,2,7,4.425053,0.029745,5.095267255508794,5.04,23.56428,59.59578,25.0,1,0,0
1,3,7,5.04127,0.853223,5.1401119546991225,5.04,23.4923,59.78292,25.0,1,0,0
1,4,7,3.63886,0.022592,5.112322530858791,5.04,23.42801,62.15257,25.0,1,0,0
1,5,7,4.107813,2.652476,5.110029050765503,5.04,23.36914,64.76765,25.0,1,0,0
1,6,7,3.870596,0.0061,4.957794457101823,5.04,23.31084,64.95248,25.0,1,0,0
1,7,7,4.320374,0.001894,11.570334629627643,5.04,23.25291,64.98986,23.0,1,0,0
1,8,7,7.495869,2.529642,11.761254901403547,4.74438,24.3418,60.63799,23.0,1,0,0
1,9,7,10.290651,0.022092,18.979239509022502,4.394472,25.24577,56.50872,23.0,1,0,0
1,10,7,12.339556,0.025069,19.852237551784118,4.069298,26.00955,47.96125,23.0,1,0,0
