Date/Time,Sensible Cooling,Mech Vent + Nat Vent + Infiltration,External Infiltration,External Vent.,Total Cooling,Relative Humidity,Zone Heating,General Lighting,Miscellaneous,Computer + Equip,Occupancy,Solar Gains Exterior Windows,Zone Sensible Heating,Zone Sensible Cooling,Air Temperature,Radiant Temperature,Operative Temperature,Room Electricity,Lighting,Heating (Electricity),Cooling (Electricity),DHW (Electricity),Outside Dry-Bulb Temperature
,kW,ac/h,kW,kW,kW,%,kW,kW,kW,kW,kW,kW,kW,kW,°C,°C,°C,kW,kW,kW,kW,kW,°C
1/1/2024 1:00,-8.829649,3.490427,-2.987405,-15.96647,-9.930715,35.52043,0,0,0,5.840366,5.04,0,0,-8.829651,21.98255,24.87539,23.42897,5.840366,0,0,4.357903,0,14.625
1/1/2024 2:00,-6.320625,3.499321,-3.164615,-16.95105,-7.250296,38.7368,0,0,0,5.840366,5.04,0,0,-6.320625,21.92533,24.67101,23.29817,5.840366,0,0,3.215091,0,14.125
1/1/2024 3:00,-4.801667,3.502452,-3.195592,-17.13536,-5.488066,34.15487,0,0,0,5.840366,5.04,0,0,-4.801666,21.88446,24.48154,23.183,5.840366,0,0,2.456245,0,14
1/1/2024 4:00,-4.414469,3.495764,-3.038282,-16.30054,-4.941516,29.66414,0,0,0,5.840366,5.04,0,0,-4.414471,21.88285,24.31296,23.0979,5.840366,0,0,2.211614,0,14.375
1/1/2024 5:00,-1.785965,3.503871,-3.392102,-18.2231,-1.982991,27.88426,0,0,0,5.840366,5.04,0,0,-1.785965,21.74867,24.14129,22.94498,5.840366,0,0,0.935923,2.161531,13.375
1/1/2024 6:00,-0.36794,3.517073,-3.727396,-20.06447,-0.404583,26.33392,0,0,0,5.840366,5.04,0,0,-0.3679399,21.43303,23.94191,22.68747,5.840366,0,0,0.211656,8.646124,12.25
1/1/2024 7:00,-0.252219,3.518163,-3.755173,-20.24274,-0.276405,25.3065,0,0,0,5.840366,5.04,2.751086,0,-0.2522192,21.25447,23.80005,22.52726,5.840366,0,0,0.145248,25.93837,12
1/1/2024 8:00,0,3.501231,-3.561858,-19.34759,0,25.63615,0,0,0,5.840366,5.021602,14.00798,0,0,21.58881,23.99342,22.79112,5.840366,0,0,0,43.23063,12.75
1/1/2024 9:00,0,3.498898,-3.528696,-19.34475,0,26.08525,0,8.343377,0,5.840366,4.89601,27.28199,0,0,22.59762,24.61001,23.60381,5.840366,8.343377,0,0,32.42297,13.75
1/1/2024 10:00,0,3.487133,-2.917807,-16.21564,0,22.20481,0,8.343377,0,5.840366,4.653776,33.69997,0,0,23.83427,25.27348,24.55387,5.840366,8.343377,0,0,8.646124,16.4
1/1/2024 11:00,0,3.459715,-2.05097,-11.62461,0,18.32679,0,8.343377,0,5.840366,4.027884,34.72418,0,0,25.38328,25.92525,25.65426,5.840366,8.343377,0,0,2.161531,20.05
1/1/2024 12:00,0,3.455293,-1.730284,-9.856626,0,17.26217,0,8.343377,0,5.840366,3.243639,33.59076,0,0,26.27384,26.49274,26.38329,5.840366,8.343377,0,0,4.323063,21.75
1/1/2024 13:00,0,3.43711,-1.264584,-7.258436,0,16.40437,0,8.343377,2.503012,5.840366,2.116781,33.82255,0,0,27.57314,27.04208,27.30761,8.343378,8.343377,0,0,12.96918,24.25
1/1/2024 14:00,0,3.430256,-0.987859,-5.722977,0,17.03932,0,8.343377,2.503012,5.840366,1.257916,35.50136,0,0,28.3613,27.66803,28.01467,8.343378,8.343377,0,0,8.646124,25.75
1/1/2024 15:00,0,3.431121,-1.053026,-6.030374,0,18.05514,0,8.343377,2.503012,5.840366,0.5948458,35.94548,0,0,28.77663,28.15451,28.46557,8.343378,8.343377,0,0,4.323063,26
1/1/2024 16:00,0,3.438727,-1.328269,-7.462048,0,19.08053,0,8.343377,2.503012,5.840366,0,32.5626,0,0,28.73092,28.40374,28.56733,8.343378,8.343377,0,0,6.484594,25.25
1/1/2024 17:00,0,3.441169,-1.497531,-8.310526,0,20.50456,0,8.343377,0,5.840366,0,21.51266,0,0,28.14362,28.28255,28.21309,5.840366,8.343377,0,0,12.96918,24.25
1/1/2024 18:00,0,3.442101,-1.597388,-8.686911,0,22.28001,0,8.343377,0,5.840366,0,1.81159,0,0,27.32411,27.63762,27.48087,5.840366,8.343377,0,0,19.45378,23.25
1/1/2024 19:00,0,3.457465,-2.124667,-11.45146,0,23.78798,0,8.343377,0,5.840366,0,0,0,0,26.2526,27.26011,26.75635,5.840366,8.343377,0,0,34.5845,20.9
1/1/2024 20:00,-34.57107,3.41962,-1.133195,-6.073985,-39.36642,31.02278,0,8.343377,0,5.840366,0.905767,0,0,-34.43372,22.13022,26.7455,24.43786,5.840366,8.343377,0,16.76077,43.23063,19.3
1/1/2024 21:00,-24.24559,3.455367,-1.818204,-9.703729,-27.4437,35.98338,0,0,0,5.840366,1.008,0,0,-24.24559,22,25.9957,23.99785,5.840366,0,0,11.76346,25.93837,17.5
1/1/2024 22:00,-19.66552,3.470088,-2.205397,-11.77214,-22.46578,35.67029,0,0,0,5.840366,4.032,0,0,-19.66552,22,25.63555,23.81778,5.840366,0,0,9.659025,10.80766,16.55
1/1/2024 23:00,-15.97303,3.47589,-2.389217,-12.75412,-18.04576,31.5295,0,0,0,5.840366,4.032,0,0,-15.97303,22,25.35553,23.67777,5.840366,0,0,7.785632,6.484594,16.1
1/2/2024,-12.31185,3.484638,-2.738683,-14.62099,-13.75373,30.60317,0,0,0,5.840366,5.04,0,0,-12.31185,22,25.11001,23.55501,5.840366,0,0,5.974323,0,15.25
1/2/2024 1:00,-9.821954,3.488571,-2.839905,-15.16472,-11.01301,31.88973,0,0,0,5.840366,5.04,0,0,-9.821954,21.99683,24.89425,23.44554,5.840366,0,0,4.811777,0,15
1/2/2024 2:00,-8.311435,3.488563,-2.830862,-15.13157,-9.339424,32.08779,0,0,0,5.840366,5.04,0,0,-8.311438,21.98113,24.70037,23.34075,5.840366,0,0,4.093716,0,15
1/2/2024 3:00,-5.420536,3.496959,-3.105889,-16.64486,-6.093314,32.594,0,0,0,5.840366,5.04,0,0,-5.420536,21.9135,24.51164,23.21257,5.840366,0,0,2.710392,0,14.25
1/2/2024 4:00,-2.014779,3.510704,-3.572115,-19.17457,-2.270004,34.47621,0,0,0,5.840366,5.04,0,0,-2.014779,21.74889,24.31738,23.03313,5.840366,0,0,1.069966,0,12.95
1/2/2024 5:00,-0.310573,3.518922,-4.052165,-21.78945,-0.350489,32.82272,0,0,0,5.840366,5.04,0,0,-0.3105345,21.34845,24.09766,22.72305,5.840366,0,0,0.186367,2.161531,11.4
1/2/2024 6:00,-0.059214,3.528259,-4.10457,-22.10037,-0.065902,29.482,0,0,0,5.840366,5.04,0,0,-5.92E-02,21.07585,23.85297,22.46441,5.840366,0,0,0.035708,8.646124,11
1/2/2024 7:00,-0.079874,3.523223,-4.006389,-21.60401,-0.088894,31.9455,0,0,0,5.840366,5.04,2.684803,0,-7.99E-02,20.99922,23.71485,22.35703,5.840366,0,0,0.0484,25.93837,11.15
1/2/2024 8:00,0,3.507998,-3.806285,-20.63039,0,32.42316,0,0,0,5.840366,4.026627,13.74528,0,0,21.21795,23.88423,22.55109,5.840366,0,0,0,43.23063,11.8
1/2/2024 9:00,0,3.508524,-3.7497,-20.48116,0,27.55884,0,8.343377,0,5.840366,2.978782,26.85555,0,0,22.12659,24.45463,23.29061,5.840366,8.343377,0,0,32.42297,12.75
1/2/2024 10:00,0,3.480724,-2.842311,-15.70182,0,24.07242,0,8.343377,0,5.840366,0,33.19783,0,0,23.25045,25.05977,24.15511,5.840366,8.343377,0,0,8.646124,16
1/2/2024 11:00,0,3.457121,-2.062562,-11.58999,0,23.39404,0,8.343377,0,5.840366,0,34.368,0,0,24.62177,25.67299,25.14738,5.840366,8.343377,0,0,2.161531,19.25
1/2/2024 12:00,0,3.453432,-1.798164,-10.15685,0,22.86832,0,8.343377,0,5.840366,0,33.18748,0,0,25.46115,26.19593,25.82854,5.840366,8.343377,0,0,4.323063,20.75
1/2/2024 13:00,0,3.430126,-1.21444,-6.984769,0,21.85365,0,8.343377,2.503012,5.840366,1.504127,33.52538,0,0,27.20679,26.76774,26.98727,8.343378,8.343377,0,0,12.96918,24
1/2/2024 14:00,0,3.432962,-1.152913,-6.630623,0,21.56052,0,8.343377,2.503012,5.840366,2.578721,35.25285,0,0,28.0328,27.41507,27.72393,8.343378,8.343377,0,0,8.646124,25
1/2/2024 15:00,0,3.439003,-1.327555,-7.554503,0,21.99939,0,8.343377,2.503012,5.840366,3.08239,35.53513,0,0,28.475,27.85122,28.16311,8.343378,8.343377,0,0,4.323063,25
1/2/2024 16:00,0,3.455138,-1.615568,-9.084504,0,21.37398,0,8.343377,2.503012,5.840366,3.026576,31.97048,0,0,28.46,28.0934,28.2767,8.343378,8.343377,0,0,6.484594,24.25
1/2/2024 17:00,0,3.452217,-1.791122,-9.978396,0,20.66298,0,8.343377,0,5.840366,3.176893,21.11412,0,0,27.88572,27.99181,27.93876,5.840366,8.343377,0,0,12.96918,23.25
1/2/2024 18:00,0,3.459095,-2.311211,-12.61662,0,24.79665,0,8.343377,0,5.840366,3.011448,1.84094,0,0,26.61179,27.34539,26.97859,5.840366,8.343377,0,0,19.45378,20.75
1/2/2024 19:00,0,3.469109,-2.845093,-15.39892,0,34.34734,0,8.343377,0,5.840366,3.956988,0,0,0,25.61158,26.92687,26.26922,5.840366,8.343377,0,0,34.5845,18.5
1/2/2024 20:00,-31.97833,3.431095,-1.657396,-8.884325,-38.55271,42.93664,0,8.343377,0,5.840366,4.585412,0,0,-31.86885,22.12555,26.47354,24.29955,5.840366,8.343377,0,16.44075,43.23063,18
