outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,outdoor_dry_bulb_temperature_predicted_1,outdoor_relative_humidity_predicted_1,diffuse_solar_irradiance_predicted_1,direct_solar_irradiance_predicted_1,outdoor_dry_bulb_temperature_predicted_2,outdoor_relative_humidity_predicted_2,diffuse_solar_irradiance_predicted_2,direct_solar_irradiance_predicted_2,outdoor_dry_bulb_temperature_predicted_3,outdoor_relative_humidity_predicted_3,diffuse_solar_irradiance_predicted_3,direct_solar_irradiance_predicted_3
14.5,65,0,0,14.5,65.0,0.0,0.0,14.5,65.0,0.0,0.0,14.5,65.0,0.0,0.0
14.0,63,0,0,14.25,64.0,0.0,0.0,14.25,64.0,0.0,0.0,14.25,64.0,0.0,0.0
14.0,50,0,0,14.166666666666666,59.333333333333336,0.0,0.0,14.166666666666666,59.333333333333336,0.0,0.0,14.166666666666666,59.333333333333336,0.0,0.0
14.5,47,0,0,14.25,56.25,0.0,0.0,14.25,56.25,0.0,0.0,14.25,56.25,0.0,0.0
13.0,45,0,0,14.0,54.0,0.0,0.0,14.0,54.0,0.0,0.0,14.0,54.0,0.0,0.0
12.0,47,0,0,13.666666666666666,52.833333333333336,0.0,0.0,13.666666666666666,52.833333333333336,0.0,0.0,13.666666666666666,52.833333333333336,0.0,0.0
12.0,44,0,0,13.25,49.333333333333336,0.0,0.0,13.428571428571429,51.57142857142857,0.0,0.0,13.428571428571429,51.57142857142857,0.0,0.0
13.0,47,244,67,13.083333333333334,46.666666666666664,40.666666666666664,11.166666666666666,13.375,51.0,30.5,8.375,13.375,51.0,30.5,8.375
14.0,47,612,244,13.083333333333334,46.166666666666664,142.66666666666666,51.833333333333336,13.444444444444445,50.55555555555556,95.11111111111111,34.55555555555556,13.444444444444445,50.55555555555556,95.11111111111111,34.55555555555556
17.2,27,799,462,13.533333333333333,42.833333333333336,275.8333333333333,128.83333333333334,13.819999999999999,48.2,165.5,77.3,13.819999999999999,48.2,165.5,77.3
21.0,25,891,647,14.866666666666667,39.5,424.3333333333333,236.66666666666666,14.47272727272727,46.09090909090909,231.45454545454547,129.0909090909091,14.47272727272727,46.09090909090909,231.45454545454547,129.0909090909091
22.0,20,935,771,16.533333333333335,35.0,580.1666666666666,365.1666666666667,15.1,43.916666666666664,290.0833333333333,182.58333333333334,15.1,43.916666666666664,290.0833333333333,182.58333333333334
25.0,20,949,823,18.7,31.0,738.3333333333334,502.3333333333333,15.975,40.166666666666664,369.1666666666667,251.16666666666666,15.86153846153846,42.07692307692308,340.7692307692308,231.84615384615384
26.0,20,940,798,20.866666666666667,26.5,854.3333333333334,624.1666666666666,16.974999999999998,36.583333333333336,447.5,317.6666666666667,16.585714285714285,40.5,383.57142857142856,272.2857142857143
26.0,22,905,699,22.866666666666664,22.333333333333332,903.1666666666666,700.0,17.974999999999998,34.25,522.9166666666666,375.9166666666667,17.21333333333333,39.266666666666666,418.3333333333333,300.73333333333335
25.0,24,832,536,24.166666666666668,21.833333333333332,908.6666666666666,712.3333333333334,18.849999999999998,32.333333333333336,592.25,420.5833333333333,17.7,38.3125,444.1875,315.4375
24.0,27,689,328,24.666666666666668,22.166666666666668,875.0,659.1666666666666,19.766666666666666,30.833333333333332,649.6666666666666,447.9166666666667,18.070588235294117,37.64705882352941,458.5882352941176,316.1764705882353
23.0,29,0,123,24.833333333333332,23.666666666666668,719.1666666666666,551.1666666666666,20.683333333333334,29.333333333333332,649.6666666666666,458.1666666666667,18.344444444444445,37.166666666666664,433.1111111111111,305.44444444444446
20.2,34,0,15,24.03333333333333,26.0,561.0,416.5,21.366666666666664,28.5,649.6666666666666,459.4166666666667,18.442105263157895,37.0,410.3157894736842,290.1578947368421
